segment_id	char_range	frame_range	speaker_id	document_id
a813aed7-25bc-4c7f-b473-e9e8cba1ded3	[8075, 8144)	[28994, 29154)	T1_GP1	BE_2019_001_T_ELAN
9004087d-0a86-41e4-9efb-4760229dcb6a	[8144, 8177)	[29330, 29561)	T1_GP1	BE_2019_001_T_ELAN
8173481e-1e58-4d65-a027-02885c35dd44	[8177, 8179)	[29750, 29771)	T1_GP1	BE_2019_001_T_ELAN
d3469ec6-4573-4ae1-9fe7-2949f4509f66	[8179, 8263)	[30422, 30543)	T1_GP1	BE_2019_001_T_ELAN
f9f33035-1bf8-4eb8-8753-75221834e50f	[8263, 8284)	[30740, 30968)	T1_GP1	BE_2019_001_T_ELAN
de695f97-7ef0-4648-a62e-5f3ac0bb3b3f	[8284, 8312)	[31252, 31462)	T1_GP1	BE_2019_001_T_ELAN
c31a4876-b07b-4cb0-b3bc-3d12fba89ee0	[8312, 8334)	[31464, 31556)	T1_GP1	BE_2019_001_T_ELAN
096c2c8f-3d72-4d2d-b18d-0ddb2001ede8	[8334, 8450)	[31557, 31788)	T1_GP1	BE_2019_001_T_ELAN
ee4cc7ac-591d-4888-803a-ff5cc5650c16	[8450, 8495)	[31788, 31840)	T1_GP1	BE_2019_001_T_ELAN
a8a4f166-1e36-4e64-bb96-a66784f87969	[8495, 8612)	[31842, 31956)	T1_GP1	BE_2019_001_T_ELAN
6ef9c980-b56b-40aa-a784-680caba528b4	[8612, 8791)	[31964, 32150)	T1_GP1	BE_2019_001_T_ELAN
0496e9c0-ac12-4e52-91c3-0d49d011ef1e	[8791, 8833)	[32181, 32260)	T1_GP1	BE_2019_001_T_ELAN
d188b9a5-7ca8-4e7a-833f-d2bcc2655a47	[8833, 8836)	[32279, 32292)	T1_GP1	BE_2019_001_T_ELAN
e130bb5d-56c6-4e33-a52f-c6cce07c5658	[8836, 9005)	[32312, 32540)	T1_GP1	BE_2019_001_T_ELAN
f8aa750e-4e2e-43b1-95b6-109180f68cbd	[9005, 9125)	[32554, 32710)	T1_GP1	BE_2019_001_T_ELAN
