sentence_id,char_range,frame_range,speaker_id,original_id
2cf91d78-d756-452a-9cf3-b27b3a620c5f,"[14587,14739)","[47664,47876)",1,256
3774872e-8950-427e-a3ff-9b917226c6bb,"[14739,14776)","[47879,47935)",1,257
4fdc0633-8b4e-46f4-9c12-7a24b87ff20c,"[14776,14796)","[47938,48215)",1,258
0ca4ebd6-0857-4a4d-9c7a-79c8947c2d61,"[14796,14864)","[48215,48336)",1,259
91cb4201-732a-4ab0-bf22-e0f781e233be,"[14864,14884)","[48335,48389)",1,260
0de3febe-df83-456e-8e5b-473fa951b9bf,"[14884,14985)","[48389,48548)",1,261
b0e20584-bf40-49b0-a3e6-b8a094309ef1,"[14985,15013)","[48549,48602)",1,262
b282e73e-edbb-4ed3-ae45-56bd9cc68650,"[15013,15030)","[48619,48657)",1,1
50ca5b3d-61c8-449c-9633-74053b2d8813,"[15030,15206)","[48656,48962)",1,263
b8b9499f-0968-4caf-990b-17df8c5d6fb1,"[15206,15336)","[48967,49161)",1,264
58606fbe-1766-4280-9dbd-0814eb3a8a1a,"[15336,15344)","[49166,49185)",1,246
ac2cc814-ccd7-4935-b7af-402a559f4a9b,"[15344,15388)","[49217,49268)",1,265
e74628ff-ea0b-4333-ac38-dbd154a3f11b,"[15388,15466)","[49279,49425)",1,266
68da8115-6a7e-424d-b1fe-8676d865367a,"[15466,15663)","[49425,49649)",1,267
fa424722-3d6c-4566-88b2-0a921a652d29,"[15663,15752)","[49682,49838)",1,268
9dbca80b-709d-4551-97ca-47ee04cab927,"[15752,15794)","[49837,49947)",1,269
7f9e9e4a-4ae1-4904-81e8-161510b12e64,"[15794,15870)","[49949,50050)",1,270
3c3cacf0-e813-4ad9-93c4-3569396983a0,"[15870,15913)","[50049,50137)",1,271
f982551e-ae54-4e11-9030-5fadec95552a,"[15913,15960)","[50169,50263)",1,272
3d91539c-db46-459d-ba6d-c6fb96bb8d63,"[15960,16021)","[50269,50365)",1,273
3cede8e5-e7cc-4e2c-8038-69e52a5a80d0,"[16021,16032)","[50384,50405)",1,274
85550915-cbf5-491b-9553-3fc78d72aaf9,"[16032,16043)","[50405,50461)",1,275
